Sample,Time,X.center,Y.center,,, 
2645,105.76,176.9696097,15.87977799,,,
2646,105.8,176.9696097,15.87977799,,,
2647,105.84,176.9647578,15.8840653,,,
2648,105.88,176.9647578,15.8840653,,,
2649,105.92,176.9599057,15.88835267,,,
2650,105.96,176.9550536,15.89264008,,,
2651,106,176.9550536,15.89264008,,,
2652,106.04,176.9502013,15.89692754,,,
2653,106.08,176.9502013,15.89692754,,,
2654,106.12,176.9453489,15.90121506,,,
2655,106.16,176.9453489,15.90121506,,,
2656,106.2,176.9404964,15.90550262,,,
2657,106.24,176.9356437,15.90979024,,,
2658,106.28,176.9356437,15.90979024,,,
2659,106.32,176.930791,15.9140779,,,
2660,106.36,176.930791,15.9140779,,,
2661,106.4,176.9259381,15.91836561,,,
2662,106.44,176.9210851,15.92265337,,,
2663,106.48,176.9210851,15.92265337,,,
2664,106.52,176.9162319,15.92694119,,,
2665,106.56,176.9162319,15.92694119,,,
2666,106.6,176.9113787,15.93122905,,,
2667,106.64,176.9065253,15.93551696,,,
2668,106.68,176.9065253,15.93551696,,,
2669,106.72,176.9016718,15.93980492,,,
2670,106.76,176.9016718,15.93980492,,,
2671,106.8,176.8968182,15.94409294,,,
2672,106.84,176.8919645,15.948381,,,
2673,106.88,176.8919645,15.948381,,,
2674,106.92,176.8871106,15.95266911,,,
2675,106.96,176.8871106,15.95266911,,,
2676,107,176.8822566,15.95695727,,,
2677,107.04,176.8774025,15.96124548,,,
2678,107.08,176.8774025,15.96124548,,,
2679,107.12,176.8725483,15.96553375,,,
2680,107.16,176.8725483,15.96553375,,,
2681,107.2,176.8676939,15.96982206,,,
2682,107.24,176.8628395,15.97411042,,,
2683,107.28,176.8628395,15.97411042,,,
2684,107.32,176.8579849,15.97839883,,,
2685,107.36,176.8579849,15.97839883,,,
2686,107.4,176.8531302,15.98268729,,,
2687,107.44,176.8482753,15.9869758,,,
2688,107.48,176.8482753,15.9869758,,,
2689,107.52,176.8434204,15.99126436,,,
2690,107.56,176.8434204,15.99126436,,,
2691,107.6,176.8385653,15.99555297,,,
2692,107.64,176.8337101,15.99984163,,,
2693,107.68,176.8337101,15.99984163,,,
2694,107.72,176.8288548,16.00413034,,,
2695,107.76,176.8288548,16.00413034,,,
2696,107.8,176.8239993,16.00841911,,,
2697,107.84,176.8191438,16.01270792,,,
2698,107.88,176.8191438,16.01270792,,,
2699,107.92,176.8142881,16.01699678,,,
2700,107.96,176.8142881,16.01699678,,,
2701,108,176.8094323,16.02128569,,,
2702,108.04,176.8045764,16.02557465,,,
2703,108.08,176.8045764,16.02557465,,,
2704,108.12,176.7997203,16.02986366,,,
2705,108.16,176.7997203,16.02986366,,,
2706,108.2,176.7948641,16.03415272,,,
2707,108.24,176.7900079,16.03844183,,,
2708,108.28,176.7900079,16.03844183,,,
2709,108.32,176.7851514,16.04273099,,,
2710,108.36,176.7851514,16.04273099,,,
2711,108.4,176.7802949,16.0470202,,,
2712,108.44,176.7754382,16.05130946,,,
2713,108.48,176.7754382,16.05130946,,,
2714,108.52,176.7705815,16.05559877,,,
2715,108.56,176.7705815,16.05559877,,,
2716,108.6,176.7657246,16.05988813,,,
2717,108.64,176.7608675,16.06417754,,,
2718,108.68,176.7608675,16.06417754,,,
2719,108.72,176.7560104,16.068467,,,
2720,108.76,176.7560104,16.068467,,,
2721,108.8,176.7511531,16.07275652,,,
2722,108.84,176.7462957,16.07704608,,,
2723,108.88,176.7462957,16.07704608,,,
2724,108.92,176.7414382,16.08133569,,,
2725,108.96,176.7414382,16.08133569,,,
2726,109,176.7365806,16.08562535,,,
2727,109.04,176.7317228,16.08991506,,,
2728,109.08,176.7317228,16.08991506,,,
2729,109.12,176.7268649,16.09420482,,,
2730,109.16,176.7268649,16.09420482,,,
2731,109.2,176.7220069,16.09849463,,,
2732,109.24,176.7171488,16.10278449,,,
2733,109.28,176.7171488,16.10278449,,,
2734,109.32,176.7122906,16.10707441,,,
2735,109.36,176.7122906,16.10707441,,,
2736,109.4,176.7074322,16.11136437,,,
2737,109.44,176.7074322,16.11136437,,,
2738,109.48,176.7025737,16.11565438,,,
2739,109.52,176.6977151,16.11994444,,,
2740,109.56,176.6977151,16.11994444,,,
2741,109.6,176.6928564,16.12423455,,,
2742,109.64,176.6928564,16.12423455,,,
2743,109.68,176.6879975,16.12852472,,,
2744,109.72,176.6831386,16.13281493,,,
2745,109.76,176.6831386,16.13281493,,,
2746,109.8,176.6782795,16.13710519,,,
2747,109.84,176.6782795,16.13710519,,,
2748,109.88,176.6734202,16.1413955,,,
2749,109.92,176.6685609,16.14568587,,,
2750,109.96,176.6685609,16.14568587,,,
2751,110,176.6637014,16.14997628,,,
2752,110.04,176.6637014,16.14997628,,,
2753,110.08,176.6588419,16.15426674,,,
2754,110.12,176.6539822,16.15855726,,,
